UTM X,UTM Y,X fixed,Y fixed,,,
438530,8023298,-696.16,-379.56,,439226.16,8023677.56
438641.7,8023344.9,-584.46,-332.66,,,
438783.2,8023390.1,-442.96,-287.46,,,
438980.5,8023493.7,-245.66,-183.86,,,
439113.7,8023565.2,-112.46,-112.36,,,
439291.3,8023529,65.14,-148.56,,,
439276.5,8023534,50.34,-143.56,,,
439383.4,8023509.3,157.24,-168.26,,,
439452.5,8023451.8,226.34,-225.76,,,
439588.9,8023432.8,362.74,-244.76,,,
439755.9,8023346.5,529.74,-331.06,,,
439925.2,8023330.1,699.04,-347.46,,,
440094.6,8023049.7,868.44,-627.86,,,
